((34, 124), (0.12278033551343755, 3604))
((30, 60), (0.22345015220688483, 4164))
((94, 144), (0.129519073626728, 5521))
((42, 132), (0.2558334948468333, 6989))
((20, 54), (0.10450629161299345, 265))
((21, 53), (0.29212909258237957, 9449))
((69, 113), (0.16716073237938728, 7323))
((108, 150), (0.2550377451900462, 11105))
((48, 114), (0.1925048587409473, 9921))
((20, 146), (-0.07635194382634893, 14))
((116, 142), (-0.16762079088830992, 7))
((55, 99), (0.1566841108483469, 4377))
((17, 53), (0.18413738584271694, 23102))
((46, 112), (0.1296322446197655, 6853))
((8, 34), (0.06419834615025628, 9138))
((30, 64), (0.25040449741310955, 3900))
((27, 39), (-0.009831463049506425, 166))
((52, 78), (0.17103096269539947, 135))
((26, 140), (0.11236074757170388, 4321))
((22, 56), (0.21506111989986565, 6168))
((18, 76), (0.11772919949222227, 15596))
((43, 119), (-0.14386806694663057, 88))
((22, 68), (0.10032324849335536, 6377))
((106, 112), (0.24151866304220224, 9870))
((18, 148), (0.08796431497320889, 14988))
((86, 132), (0.08900510174214818, 5689))
((79, 99), (0.310724295498608, 4482))
((26, 40), (0.19920268073173897, 5090))
((8, 94), (0.1012627265094632, 8441))
((7, 15), (0.23534648497081195, 54931))
((63, 147), (0.23005954661496916, 6930))
((44, 86), (0.34123644040260664, 3939))
((62, 120), (0.13077047501822547, 7855))
((26, 84), (0.21157215964025144, 5215))
((27, 131), (-0.5794113076410892, 14))
((133, 145), (0.23472376305734832, 6693))
((53, 105), (0.30464808829025486, 16619))
((93, 141), (-0.011148938956673887, 3636))
((83, 143), (0.2391768734432101, 6623))
((61, 65), (0.12453864350456642, 207))
((45, 141), (0.1340975309628914, 3485))
((117, 141), (-0.014180166149278584, 3631))
((36, 102), (0.087622194319682, 6062))
((29, 33), (0.05508789508198855, 4238))
((60, 138), (0.08589349761827547, 4750))
((109, 149), (0.3111986328016943, 7623))
((67, 119), (0.03968726205906798, 5126))
((77, 89), (0.11400082835617172, 6521))
((58, 108), (0.08480854169432651, 3807))
((13, 45), (0.07816046646035289, 7170))
((87, 131), (0.20049787302909522, 5139))
((89, 129), (0.22612012388071093, 15134))
((49, 85), (0.08665138139474762, 4550))
((130, 136), (0.1746096546586575, 4732))
((18, 48), (0.09951036552753226, 11041))
((90, 132), (0.08537767620649538, 5094))
((41, 129), (0.09392303764224583, 5532))
((65, 109), (0.2564827209893122, 5977))
((8, 134), (0.13096495506216707, 15786))
((40, 90), (0.2632746967502961, 4737))
((59, 143), (0.15536643855272417, 5110))
((50, 116), (0.152049624320119, 155))
((31, 59), (0.011570553544942241, 141))
((41, 125), (0.20045474042021502, 4839))
((32, 122), (0.21399452557490153, 8719))
((28, 94), (0.19379761414095262, 5829))
((38, 104), (0.12777179480632425, 7047))
((16, 54), (0.07380971191408935, 16797))
((24, 46), (0.15880929218326187, 3812))
((53, 149), (0.21441449990598702, 9494))
((60, 102), (0.17634083428951927, 4563))
((54, 64), (0.09054692107612138, 4461))
((56, 134), (0.2618361798588557, 8377))
((45, 113), (0.1729892981082928, 5150))
((101, 125), (0.11222557242299899, 4082))
((73, 85), (0.28629755437636917, 133))
((28, 34), (0.13574458859672048, 6185))
((19, 51), (-0.04151269692110838, 166))
((75, 95), (0.2078054289973199, 4721))
((24, 82), (0.21066702529175835, 3785))
((42, 92), (0.15426992894661035, 6455))
((59, 71), (0.23256635394851058, 4425))
((129, 141), (-0.010233904689825454, 3672))
((15, 23), (0.09484157683950098, 6706))
((57, 77), (0.14024144759271043, 3927))
((113, 121), (0.18109219166332552, 7077))
